Location,Gender,Age group,Count
Canada,Total - gender,16 years,456245
Canada,Total - gender,17 years,448164
Canada,Total - gender,18 years,456187
Canada,Total - gender,19 years,500160
Canada,Total - gender,20 years,539320
Canada,Total - gender,21 years,539061
Canada,Total - gender,22 years,540697
Canada,Total - gender,23 years,550666
Canada,Total - gender,24 years,574478
Canada,Total - gender,25 years,578878
Canada,Total - gender,26 years,599410
Canada,Total - gender,27 years,610252
Canada,Total - gender,28 years,625174
Canada,Total - gender,29 years,628637
Canada,Total - gender,30 years,624251
Canada,Total - gender,31 years,627619
Canada,Total - gender,32 years,629059
Canada,Total - gender,33 years,637011
Canada,Total - gender,34 years,634074
Canada,Total - gender,35 years,608850
Canada,Total - gender,36 years,590359
Canada,Total - gender,37 years,584673
Canada,Total - gender,38 years,587044
Canada,Total - gender,39 years,584108
Canada,Total - gender,40 years,575134
Canada,Total - gender,41 years,568705
Canada,Total - gender,42 years,559197
Canada,Total - gender,43 years,554459
Canada,Total - gender,44 years,542945
Canada,Total - gender,45 to 49 years,2541391
Canada,Total - gender,50 to 54 years,2446595
Canada,Total - gender,55 to 59 years,2493717
Canada,Total - gender,60 to 64 years,2712771
Canada,Total - gender,65 years and older,7820121
Canada,Men+,16 years,234617
Canada,Men+,17 years,230852
Canada,Men+,18 years,235990
Canada,Men+,19 years,260948
Canada,Men+,20 years,282840
Canada,Men+,21 years,282544
Canada,Men+,22 years,284354
Canada,Men+,23 years,289847
Canada,Men+,24 years,302235
Canada,Men+,25 years,303109
Canada,Men+,26 years,313124
Canada,Men+,27 years,318470
Canada,Men+,28 years,325358
Canada,Men+,29 years,326971
Canada,Men+,30 years,322144
Canada,Men+,31 years,323664
Canada,Men+,32 years,322473
Canada,Men+,33 years,327128
Canada,Men+,34 years,324810
Canada,Men+,35 years,311216
Canada,Men+,36 years,300512
Canada,Men+,37 years,296610
Canada,Men+,38 years,298513
Canada,Men+,39 years,296086
Canada,Men+,40 years,291135
Canada,Men+,41 years,287578
Canada,Men+,42 years,281628
Canada,Men+,43 years,279629
Canada,Men+,44 years,273075
Canada,Men+,45 to 49 years,1268595
Canada,Men+,50 to 54 years,1209574
Canada,Men+,55 to 59 years,1229166
Canada,Men+,60 to 64 years,1337962
Canada,Men+,65 years and older,3618203
Canada,Women+,16 years,221628
Canada,Women+,17 years,217312
Canada,Women+,18 years,220197
Canada,Women+,19 years,239212
Canada,Women+,20 years,256480
Canada,Women+,21 years,256517
Canada,Women+,22 years,256343
Canada,Women+,23 years,260819
Canada,Women+,24 years,272243
Canada,Women+,25 years,275769
Canada,Women+,26 years,286286
Canada,Women+,27 years,291782
Canada,Women+,28 years,299816
Canada,Women+,29 years,301666
Canada,Women+,30 years,302107
Canada,Women+,31 years,303955
Canada,Women+,32 years,306586
Canada,Women+,33 years,309883
Canada,Women+,34 years,309264
Canada,Women+,35 years,297634
Canada,Women+,36 years,289847
Canada,Women+,37 years,288063
Canada,Women+,38 years,288531
Canada,Women+,39 years,288022
Canada,Women+,40 years,283999
Canada,Women+,41 years,281127
Canada,Women+,42 years,277569
Canada,Women+,43 years,274830
Canada,Women+,44 years,269870
Canada,Women+,45 to 49 years,1272796
Canada,Women+,50 to 54 years,1237021
Canada,Women+,55 to 59 years,1264551
Canada,Women+,60 to 64 years,1374809
Canada,Women+,65 years and older,4201918
Newfoundland and Labrador,Total - gender,16 years,5613
Newfoundland and Labrador,Total - gender,17 years,5567
Newfoundland and Labrador,Total - gender,18 years,5546
Newfoundland and Labrador,Total - gender,19 years,5579
Newfoundland and Labrador,Total - gender,20 years,5842
Newfoundland and Labrador,Total - gender,21 years,6066
Newfoundland and Labrador,Total - gender,22 years,6042
